URL,Size (bytes),# Outlinks,Content-Type
https://www.nytimes.com/2025/09/29/us/politics/alaska-plane-beer-supreme-court.html,348376,192,text/html
https://www.nytimes.com/athletic/6672037/2025/09/29/nfl-week-4-takeaways-cowboys-packers-jaxson-dart/,252045,216,text/html
https://www.nytimes.com/athletic/connections-sports-edition,2300,5,text/html
https://www.nytimes.com/athletic/,578565,280,text/html
https://www.nytimes.com/games/wordle/index.html,127098,13,text/html
https://www.nytimes.com/wirecutter/,576719,287,text/html
https://www.nytimes.com/games/connections?GAMES_connectionsRollout_1130=1_ConnectionsV2,142277,37,text/html
https://www.nytimes.com/games/strands,141954,35,text/html
https://www.nytimes.com/puzzles/spelling-bee,149806,36,text/html
https://www.nytimes.com/crosswords,146244,34,text/html
http://www.nytimes.com/crosswords/game/mini,142149,36,text/html
https://www.nytimes.com/section/us,710791,78,text/html
https://www.nytimes.com/section/world,904659,114,text/html
https://www.nytimes.com/section/politics,741455,81,text/html
https://www.nytimes.com/section/nyregion,597376,85,text/html
https://www.nytimes.com/section/education,1114706,95,text/html
https://www.nytimes.com/section/sports,340054,71,text/html
https://www.nytimes.com/section/business,830576,86,text/html
https://www.nytimes.com/section/science,865339,125,text/html
https://www.nytimes.com/section/technology,721972,92,text/html
https://www.nytimes.com/section/weather,585889,65,text/html
https://www.nytimes.com/spotlight/the-great-read,559720,64,text/html
https://www.nytimes.com/section/obituaries,653862,103,text/html
https://www.nytimes.com/section/headway,867318,119,text/html
https://www.nytimes.com/spotlight/visual-investigations,1358313,123,text/html
https://www.nytimes.com/section/books/review,574848,101,text/html
https://www.nytimes.com/section/magazine,818445,97,text/html
https://www.nytimes.com/books/best-sellers/,412681,372,text/html
